+1 1:535 2:302 
+1 1:535 2:310 
+1 1:535 2:282 
+1 1:535 2:282 
+1 1:535 2:338 
+1 1:535 2:313 
+1 1:535 2:338 
+1 1:535 2:313 
+1 1:535 2:564 
+1 1:535 2:423 
+1 1:535 2:423 
+1 1:535 2:564 
+1 1:520 2:564 
+1 1:535 2:564 
+1 1:535 2:846 
+1 1:535 2:564 
+1 1:535 2:282 
+1 1:535 2:282 
+1 1:520 2:282 
+1 1:535 2:282
-1 1:800 2:200  
-1 1:770 2:200  
-1 1:712 2:200  
-1 1:810 2:230  
-1 1:1050 2:300  
-1 1:770 2:200  
-1 1:933 2:200  
-1 1:780 2:200  
-1 1:680 2:200  
-1 1:1300 2:300  
-1 1:1200 2:450  
-1 1:740 2:100  
-1 1:707 2:210  
-1 1:850 2:310  
-1 1:770 2:210  
-1 1:896 2:200  
-1 1:872 2:200  
-1 1:900 2:300  
-1 1:980 2:200  
-1 1:1450 2:200  
